ID,SKU,Title,Brand,Stock,Currency,Price,Changes,Barcode,Category,Description,Body,Image_URLs
13698,VIVFB150,Soporte Para Flash Vivitar Fb-150 Multiposición,VIVITAR,4,U$S,17.0,pvp_ecommerce,00000000000000,Fotografia - Accesorios > ACCESORIOS CAMARAS,VIVITAR - SOPORTE PARA FLASH FB-150 - MULTIPOSICIÓN.,"<p><strong><span style=""font-size: 14pt;"">VIVITAR - SOPORTE PARA FLASH</span></strong><br /><strong><span style=""font-size: 14pt;"">FB-150</span></strong><br /><br /><span style=""color: #ff6600;"">SOPORTE PARA FLASH MULTIPOSICI&Oacute;N CON AJUSTE PERFECTO, PROPORCIONA IM&Aacute;GENES MAS ESTABLES Y N&Iacute;TIDAS.</span><br /><span style=""color: #ff6600;"">AUMENTA LA DISTANCIA ENTRE EL FLASH Y LA C&Aacute;MARA PERMITIENDO CONSEGUIR IM&Aacute;GENES CON ILUMINACI&Oacute;N PERFECTA.</span><br /><br />Reduce al m&iacute;nimo los ojos rojos.<br />Reduce al m&iacute;nimo las sombras de flash&nbsp;de fondo.<br />SOPORTE PARA FLASH MULTIPOSICI&Oacute;N:&nbsp;PERMITE GIRAR EL FLASH EN VARIAS POSICIONES.<br />Color:&nbsp;NEGRO.<br /><br />* NO incluye c&aacute;mara ni flash. Im&aacute;genes s&oacute;lo a modo de ejemplo.<br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/13698/1/d/VIVFB150_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/13698/1/d/VIVFB150_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/13698/1/d/VIVFB150_01_POS.jpg, https://www.pcservice.com.uy/contentimg/13698/1/d/VIVFB150_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/13698/1/d/VIVFB150_02_POS.jpg"""
26138,TG3468,Tarjeta de Red Tp-Link Pcie Giga Tg3468 1000mb/s,TP-LINK,12,U$S,8.8,pvp_ecommerce,06935364001049,Conectividad Activa > TARJETAS DE RED,"TP-LINK - Tarjeta PCI - Adaptador Expreso Gigabit, 10/100/1000Mbps / 32-bit.","<p><span style=""font-weight: bold; color: #000000;""><span style=""font-size: 14pt;"">TP-LINK - ADAPTADOR DE RED</span><br /><span style=""font-size: 14pt;"">TG-3468<br /></span><br /></span><span style=""color: #000000;"">El adaptador de red Gigabit PCIe TG-3468 es un adaptador de alto rendimiento dise&ntilde;ado para la alta velocidad PCI Express Arquitectura autob&uacute;s. Dise&ntilde;ado para apoyar a 10/100/1000 Mbps de velocidad de red Auto-Negociaci&oacute;n, control de flujo 802.3x y tecnolog&iacute;a Wake-on-LAN. TG-3468 Adaptador de red Gigabit PCIe es un adaptador Gigabit Ethernet altamente integrado y rentable que es una buena selecci&oacute;n para actualizar su red.</span><span style=""font-weight: bold; color: #000000;""><br /></span><span style=""color: #000000;""><span style=""color: #ff6600;""><br />Interfaz: RJ45 - 32-Bit PCI Express.<br />Velocidad: 10/100/1000Mbps.</span></span><br style=""color: #000000;"" /><span style=""color: #000000;"">Normas y Protocolos: IEEE 802.3, 802.3u, 802.3ab, 802.3x, 802.1Q, 802.1p CSMA / CD, TCP / IP.</span><br style=""color: #000000;"" /><span style=""color: #000000;"">Compatible con Wake-on-LAN.</span><br style=""color: #000000;"" /><span style=""color: #000000;"">Dimensiones: 78,5 x 120,8 x 21,5 mm APROX.</span><span style=""font-weight: bold; color: #000000;""><br /></span><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra defecto de fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/26138/1/d/TG3468-ICO.jpg, https://www.pcservice.com.uy/contentimg/26138/1/d/TG3468-01.jpg, https://www.pcservice.com.uy/contentimg/26138/1/d/TG3468-02.jpg"""
32163,LDD1000HW,Driver De Corriente Constante Mean Well 52vdc 1000ma,MEAN WELL,85,U$S,4.1,price,00000000000000,Iluminacion LED > DRIVERS,MEAN WELL - DRIVER DE CORRIENTE CONSTANTE LDD-1000HW - IP67. PWM DIMMING. 52Vdc. 1000mA.,"<p><span style=""color: #000000;""><span style=""font-size: 14pt;""><strong>MEAN WELL - DRIVER DE CORRIENTE CONSTANTE<br />LDD-1000HW</strong></span><br /><br />Especialmente dise&ntilde;ado para aplicaciones de farolas solares alimentadas desde bater&iacute;a.<br />Los reguladores de corriente de la serie LDD-H est&aacute;n pensados para alimentar los Leds desde una bater&iacute;a o tensi&oacute;n en continua. Estos equipos se pueden regular con una se&ntilde;al PWM. Los reductores de tensi&oacute;n (dise&ntilde;o buck o step-down) reducen la tensi&oacute;n de entrada a una tensi&oacute;n de salida inferior manteniendo la corriente de salida constante. <strong>Es muy importante considerar que la tensi&oacute;n de alimentaci&oacute;n de los Leds debe ser al menos 3V inferior a la tensi&oacute;n de alimentaci&oacute;n.</strong></span></p>  <p><span style=""color: #000000;""><span style=""color: #ff6600;"">Certificado IP67.<br />Estilo de Alambre: PWM DIMMING.<br />Voltaje de Salida: 52 Vdc.</span><br />Rango de Tensi&oacute;n de Salida (modo corriente constante): 2 - 52 Vcc (seg&uacute;n demanda de carga).<br /><span style=""color: #ff6600;"">Corriente de Salida: 1000 mA.</span><br />Potencia de Salida: 52 W.<br />Rango de Entrada: 9 - 56 Vcc.<br />Eficiencia T&iacute;pica: 97%.<br />Regulaci&oacute;n del 0% al 100% de la intensidad de salida con una se&ntilde;al PWM.<br />Consumo sin carga de 1 mA en modo apagado.<br />Temperatura de Funcionamiento: -40 &ordm;C - 85 &ordm;C.<br />Entrada y salida cableada.<br />Atenuaci&oacute;n con PWM y ON/OFF remoto.<br />Peso: 30 g APROX.<br />Dimensiones: 31,8 x 20,3 x 12,2 mm APROX.<br /><br /><a href=""https://www.start-game.com/files/pcservice/PDF/MEAN_WELL/LDD-H-spec.pdf"" target=""_blank"" rel=""noopener"">Descargue PDF serie LDD-H.</a><br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra defecto de fabricaci&oacute;n.</span></p>","""https://www.pcservice.com.uy/contentimg/32163/1/d/LDD1000HW-ICO.jpg, https://www.pcservice.com.uy/contentimg/32163/1/d/LDD1000HW-PIC.jpg, https://www.pcservice.com.uy/contentimg/32163/1/d/LDD1000HW-POS1.jpg, https://www.pcservice.com.uy/contentimg/32163/1/d/LDD1000HW-POS2.jpg"""
35129,TLWN823N,Mini Adaptador Usb Inalámbrico 300 Mbps,TP-LINK,32,U$S,8.2,price,06935364050696,Conectividad Wireless > USB,TP-LINK - MINI ADAPTADOR USB INALAMBRICO TL-WN823N - USB2.0. WIFI. 300Mbps.,"<p><span style=""color: #000000;""><span style=""font-size: 14pt;""><strong>TP-LINK - MINI ADAPTADOR USB INALAMBRICO<br /></strong></span></span><span style=""color: #000000;""><span style=""font-size: 14pt;""><strong>TL-WN823N</strong></span><br /><img src=""https://www.pcservice.com.uy/contentimg/35129/1/d/mceclip0.png"" /><br /></span><span style=""color: #000000;""><span style=""font-size: 12pt;""><strong>Interfaz:</strong> USB 2.0.</span><br /><span style=""font-size: 12pt;"">WLAN: WiFi 802,11 b/g/n.</span><br /><strong><span style=""font-size: 12pt;"">Bot&oacute;n de configuraci&oacute;n WiFi protegida (WPS).</span></strong><br /><span style=""font-size: 12pt;"">Modos inal&aacute;mbricos: Soft AP, Client (soporta Ad-hoc/red de infraestructura).</span><br /><span style=""font-size: 12pt;"">Tipo de antena: interna.</span><br /><span style=""font-size: 12pt;"">Frecuencia: 2,400~2,4835 GHz.</span><br /><span style=""font-size: 12pt;"">Tasas de transferencia: 11b hasta 11 Mbps (din&aacute;mica), 11g hasta 54 Mbps (din&aacute;mica), 11n hasta 300 Mbps (din&aacute;mica).</span><br /><span style=""font-size: 12pt;"">Requisitos del sistema: Windows (XP, Vista, 7).</span><br /><span style=""font-size: 12pt;"">Dimensiones: 39 x 18,35 x 7,87 mm.<br /></span><br /><span style=""font-size: 12pt;""><a href=""http://www.tp-link.es/products/details/?model=TL-WN823N"" target=""_blank"" rel=""noopener"">Link del Fabricante</a><br /><br /></span></span><span style=""color: #000000;""><span style=""font-size: 12pt;"">Garant&iacute;a: 1 a&ntilde;o.<br />Contra defecto de fabricaci&oacute;n.</span><br /></span></p>","""https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-ICO1.jpg, https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-01.jpg, https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-POSTER2.jpg, https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-POSTER3.jpg, https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-POSTER4.jpg, https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-POSTER5.jpg, https://www.pcservice.com.uy/contentimg/35129/1/d/TLWN823N-POSTER6.jpg"""
42619,ESANDROIDMTS11,Antivirus Escan Mobile Security For Android,ESCAN,512,U$S,2.8,"price,pvp_ecommerce",00000000000000,Software >             ANTIVIRUS,ESCAN -ANTIVIRUS MOBILE SECURITY PARA ANDROID - Escaneo en tiempo real y programado. Filtro de llamadas. Copias de seguridad de contactos y SMS. Anti- Robo.,"<p><span style=""color: #000000;""><span style=""font-weight: bold; font-size: 14pt;"">ESCAN ANTIVIRUS<br />MOBILE SECURITY <br />PARA ANDROID 1L</span><br /><br /></span><span style=""color: #ff0000;""><span style=""font-weight: bold;"">Todo lo que necesitas para proteger tu ordenador, contra todo tipo de amenazas.</span></span><br /><span style=""color: #000000;""><span style=""font-weight: bold;"">Protecci&oacute;n Completa.<br /></span>Escaneo en tiempo real y programado.<br /><span style=""font-weight: bold;"">Protecci&oacute;n de web y control paterno.</span><br />Filtro de llamadas y mensajes.<br /><span style=""font-weight: bold;"">Copia de seguridad de contactos y SMS.</span><br />Anti robo.<br />Interfaz grafica de usuario, facil de usar y muy de moda.<br />Control de aplicaciones. <br />Asistencia gratuita.<br /><br /></span></p>  <p><strong>Geolocaliza su m&oacute;vil robado o extraviado:</strong><br />Permite geolocalizar su dispositivo m&oacute;vil de Android mediante el buscador de GPS, en el caso de que el dispositivo m&oacute;vil Android se extravi&eacute; o sea robado.<br /><br /></p>  <p><strong>Vigilancia de Bloqueo (Lock Watch):</strong><br />Si alguien pretende liberar su m&oacute;vil, esta funci&oacute;n tomar&aacute; una foto de la persona mediante la c&aacute;mara fronral tras m&aacute;s de dos intentos fallidos. A continuaci&oacute;n, se enviar&aacute; la foto a su correo electr&oacute;nico.<br />Nota: Es necesario que el m&oacute;vil est&eacute; conectado al internet para enviar la foto a su correo electr&oacute;nico.<br /><br /><strong>Filtro de Llamada y Mensajes:</strong><br />Bloquea llamadas y mensajes de texto no deseados mediante el uso de los par&aacute;metros de filtrado de contenido. Mediante esta opci&oacute;n, usted puede bloquear llamadas provenientes de ciertos n&uacute;meros.&nbsp;Por otra parte, los SMS se pueden bloquear en base a ciertas frases, palabras.<br /><br /><strong>Permite respaldar y restaurar todos sus contactos y los SMS:</strong><br />Permite hacer una copia de seguridad de todos los SMS y los contactos en su m&iacute;vil de Android. Permitiendo la restauraci&oacute;n de los datos en caso de que sea necesario.&nbsp;<br /><br /><strong>Seguridad personal:</strong><br />En situaciones l&iacute;mites si sui integridad f&iacute;sica est&aacute; en peligro, esta funci&oacute;n avisar&aacute; enviando un mensaje con su ubicaci&oacute;n actual (Latitud, longitud) a alguien de su entorno cercano (cuyo n&uacute;mero haya sido facilitado con anterioridad). De esta forma, el destinatario del mensaje de socorro puede acudir en su ayuda.&nbsp;<br /><br /><strong>Escaneo programado:</strong><br />eScan Mobile Securitty para Android le permite programar escaneos en su dispositivo m&oacute;vil sin estorbar las tareas habituales que usted realiza en su m&oacute;vil.<br /><br /><strong>Control de aplicaciones:</strong><br />Con el m&oacute;dulo para el Control de Aplicaciones de eScan, usted puede permitir bloquear las aplicaciones en su m&oacute;vil. Por defecto, todas las aplicaciones descargadas quedan bloqueadas y s&oacute;lo se ejecutan al introducir una contrase&ntilde;a.<br /><br /></p>  <p>Licencia por 1 a&ntilde;o.<br />N&uacute;mero de licencia: 1.<br /><br /><a href=""https://www.escanav.com/en/index.asp"">Link Del Fabricante.</a></p>","""https://www.pcservice.com.uy/contentimg/42619/1/d/ESANDROIDMTS11-ICO.png, https://www.pcservice.com.uy/contentimg/42619/1/d/ESANDROIDMTS11-PIC.png, https://www.pcservice.com.uy/contentimg/42619/1/d/ESANDROIDMTS11-POS.png"""
51383,EUBAT730,Mochila Eurocase EUBA-T730,EUROCASE,7,U$S,6.0,price,07798135461966,"Notebooks - Mochilas > MOCHILAS 7"" - 10""","EUROCASE - MOCHILA EUBA-T730 PARA TABI - 7'' - 10"". 3 COMPARTIMIENTOS. INTERIOR RESISTENTE AL AGUA . CORREAS AJUSTABLES.","<p><span style=""color: #000000;""><strong><span style=""font-size: 14pt;"">MOCHILA&nbsp;<span style=""font-size: large;"">PARA TABI O TABLET</span></span><br /><span style=""font-size: large;""><span style=""font-size: 14pt;"">EUBA-T730</span><br /><br /></span></strong><br /><span style=""font-size: 12pt;"">Capacidad: 7' - 10"".</span><br /><span style=""font-size: 12pt;"">3 Compartimientos.</span><br /><span style=""font-size: 12pt;"">Polyester de gran resistencia.</span><br /><span style=""font-size: 12pt;"">Cierres de gran resistencia.</span><br /><span style=""font-size: 12pt;"">Material Interior Resistente al Agua.</span><br /><span style=""font-size: 12pt;"">Liviana, suave y colorida.</span><br /><span style=""font-size: 12pt;"">Correas Ajustables adaptables a cualquier altura.</span><br /><span style=""font-size: 12pt;"">Bolsillo trasero con correa para sostener auriculares de Tabi.</span><br /><br /><br /><span style=""font-size: 12pt;""><a href=""http://eurocase.com/Products/detail/204"" target=""_blank"" rel=""noopener"">Link del Fabricante</a></span><br /><span style=""font-size: 12pt;"">Garant&iacute;a: 1 a&ntilde;o.<br />Contra defecto de Fabricaci&oacute;n.</span></span></p>","""https://www.pcservice.com.uy/contentimg/51383/1/d/TABI-ICO.jpg, https://www.pcservice.com.uy/contentimg/51383/1/d/TABI-PIC.jpg, https://www.pcservice.com.uy/contentimg/51383/1/d/TABI-POS.jpg, https://www.pcservice.com.uy/contentimg/51383/1/d/TABI-POSTER2.jpg"""
66007,A1X79AA,"Soporte Para Monitor Hp L6010 10,4'' Posición Ajustable",HP,2,U$S,8.0,pvp_ecommerce,00000000000000,Equipamiento para Oficina > SOPORTES,HP - SOPORTE PARA MONITOR L6010 - 2 POSICIONES DE ALTURA. INCLINACIÓN AJUSTABLE.,"<p><strong><span style=""font-size: 14pt;"">HP - SOPORTE PARA MONITOR</span></strong><br /><strong><span style=""font-size: 14pt;"">L6010</span></strong><br /><br /><span style=""color: #ff6600;"">2 POSICIONES DE ALTURA.<br />INCLINACI&Oacute;N AJUSTABLE.</span><br />BASE&nbsp;S&Oacute;LIDA, REFORZADA Y PEQUE&Ntilde;A.<br />Gracias a la peque&ntilde;a superficie de la base se maximiza el espacio del escritorio.<br />Compatibilidad: Monitor HP 10,4'' L6010.<br />Peso: 1 kg APROX.<br />Dimensiones: 225 x 193 x 168 mm&nbsp;APROX.<br />Color: NEGRO.<br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/66007/1/d/A1X79AA_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/66007/1/d/A1X79AA_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/66007/1/d/A1X79AA_01_POS.jpg"""
66197,MOT89833NBK,Cargador Para Auto Motorola Turbopower 25 Usb A + Micro Usb,MOTOROLA,1,U$S,9.0,price,07798135462451,Articulos para Auto > CARGADORES DE AUTO,MOTOROLA - CARGADOR PARA AUTO TURBOPOWER 25 - USB A + MICRO USB.,"<p><strong><span style=""font-size: 14pt;"">MOTOROLA - CARGADOR PARA AUTO </span></strong><br /><strong><span style=""font-size: 14pt;"">TURBOPOWER 25</span></strong><br /><br /><span style=""color: #ff6600;"">CARGA DOS DISPOSITIVOS&nbsp;AL MISMO TIEMPO: USB A + MICRO USB.<br />PUERTO USB A: 15 W / 3 A.<br />PUERTO MICRO USB: 25 W / 3 A.</span><br />Tecnolog&iacute;a: Qualcomm QuickCharge 2.0.<br />Compatibilidad: ANDROID / IOS.<br />Color:&nbsp;NEGRO.<br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_01_POS.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_02_POS.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_03_PIC.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_03_POS.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_04_PIC.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_04_POS.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_05_PIC.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_05_POS.jpg, https://www.pcservice.com.uy/contentimg/66197/1/d/MOT89833NBK_06.jpg"""
67722,MS222,Mouse Óptico Gaming Coolmax RGB 1600 dpi,COOLMAX,92,U$S,3.1,pvp_ecommerce,06922456710316,Mouse - Pad - Tablet Digital > GAMING,COOLMAX - MOUSE OPTICO 1600 DPI GAMER X7 USB Color: Negro  RGB,"<p><span style=""font-size: 14pt;""><strong>COOLMAX - MOUSE GAMER <br />X7</strong></span><br /><br /><img src=""https://www.pcservice.com.uy/contentimg/67722/1/d/ICON_USB.png"" alt="""" width=""50"" height=""50"" /><br /><br /><span style=""color: #ff6600;"">Mouse Optico USB.</span><br /><span style=""color: #ff6600;"">RGB</span><br /><strong>1600 DPI.</strong><br /><strong>Color:</strong>&nbsp;Negro&nbsp;<br /><br />Garant&iacute;a 1 a&ntilde;o.<br />Contra defecto de fabricac&iacute;on<br /><br /><br /></p>","""https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_01_POS.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_02_POS.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_03_PIC.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_03_POS.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_04_PIC.jpg, https://www.pcservice.com.uy/contentimg/67722/1/d/MS222_04_POS.jpg"""
68815,8277B001AA,Cartucho Canon CL-146 Color 9ml Original,CANON,29,U$S,29.0,"price,pvp_ecommerce",04960999974446,Consumibles > CARTUCHO ORIGINAL,CANON CARTUCHO DE TINTA ORIGINAL CL-146 COLOR. 9ML. 180 PAGINAS. COMPATIBLE: PIXMA IP2810 / MG2410 / MG2510 / MG2910.,"<p><strong><span style=""font-size: 14pt;"">CARTUCHO DE TINTA COLOR</span></strong><br /><strong><span style=""font-size: 14pt;"">CANON CL-146 COLOR 9 ML</span></strong></p>  <p><br /><span style=""color: #ff6600;"">El Cartucho Original Canon CL-146 con sus 9ml mejora el rendimiento y costo de impresi&oacute;n. Adem&aacute;s, gracias a su sistema FINE, te entrega resultados con calidad de laboratorio fotogr&aacute;fico y la m&aacute;xima comodidad al poder ser sustituida f&aacute;cilmente en unos segundos.</span><br />Imprime hasta 180 p&aacute;ginas (Mezclando texto y gr&aacute;fico certificado por ISO/IEC 24711).<br /><br />Contenido del Cartucho: 9 ml.<br />Compatibilidad de Impresoras: PIXMA IP2810 / MG2410 / MG2510 / MG2910.</p>","""https://www.pcservice.com.uy/contentimg/68815/1/d/8277B001AA_ICO1.jpg, https://www.pcservice.com.uy/contentimg/68815/1/d/8277B001AA_PIC1.jpg, https://www.pcservice.com.uy/contentimg/68815/1/d/8277B001AA_POS1.jpg"""
